,i,j,origin_x,origin_y,dest_x,dest_y
0,19,17,-46.67630000000001,-23.5564,-46.67630000000001,-23.5564
1,20,19,-46.661300000000004,-23.5414,-46.646300000000004,-23.5414
2,20,21,-46.646300000000004,-23.5414,-46.61630000000001,-23.5414
3,21,20,-46.61630000000001,-23.526399999999995,-46.6313,-23.526399999999995
4,17,23,-46.571299999999994,-23.5864,-46.586299999999994,-23.5864
5,22,19,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.526399999999995
6,22,19,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.526399999999995
7,21,19,-46.646300000000004,-23.526399999999995,-46.646300000000004,-23.526399999999995
8,22,19,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.511399999999995
9,22,19,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.511399999999995
10,22,19,-46.661300000000004,-23.511399999999995,-46.646300000000004,-23.511399999999995
11,21,19,-46.646300000000004,-23.526399999999995,-46.646300000000004,-23.526399999999995
12,21,20,-46.646300000000004,-23.526399999999995,-46.6313,-23.526399999999995
13,21,17,-46.646300000000004,-23.526399999999995,-46.67630000000001,-23.511399999999995
14,22,19,-46.67630000000001,-23.511399999999995,-46.646300000000004,-23.526399999999995
15,21,17,-46.646300000000004,-23.526399999999995,-46.67630000000001,-23.511399999999995
16,22,19,-46.67630000000001,-23.511399999999995,-46.646300000000004,-23.526399999999995
17,22,20,-46.646300000000004,-23.511399999999995,-46.6313,-23.526399999999995
18,22,21,-46.646300000000004,-23.511399999999995,-46.61630000000001,-23.5414
19,22,21,-46.646300000000004,-23.511399999999995,-46.61630000000001,-23.5414
20,22,20,-46.646300000000004,-23.511399999999995,-46.6313,-23.526399999999995
21,21,22,-46.6313,-23.526399999999995,-46.601299999999995,-23.511399999999995
22,21,20,-46.646300000000004,-23.526399999999995,-46.6313,-23.526399999999995
23,21,20,-46.646300000000004,-23.526399999999995,-46.6313,-23.526399999999995
24,21,20,-46.586299999999994,-23.526399999999995,-46.6313,-23.526399999999995
25,21,20,-46.6313,-23.526399999999995,-46.6313,-23.5414
26,20,20,-46.6313,-23.5414,-46.6313,-23.526399999999995
27,21,20,-46.571299999999994,-23.526399999999995,-46.6313,-23.526399999999995
28,21,20,-46.571299999999994,-23.526399999999995,-46.6313,-23.526399999999995
29,21,20,-46.571299999999994,-23.526399999999995,-46.6313,-23.526399999999995
30,21,22,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.5414
31,20,21,-46.601299999999995,-23.5414,-46.61630000000001,-23.526399999999995
32,21,22,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
33,21,21,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
34,21,22,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
35,21,21,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
36,21,22,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
37,21,21,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
38,21,22,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
39,21,21,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
40,21,22,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
41,21,21,-46.601299999999995,-23.526399999999995,-46.61630000000001,-23.526399999999995
42,21,21,-46.61630000000001,-23.526399999999995,-46.61630000000001,-23.526399999999995
43,21,22,-46.61630000000001,-23.526399999999995,-46.601299999999995,-23.526399999999995
